grupocid10,<1,1-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,>=80,total
DoencasInfecciosasIntestinais,0,0,0,0,0,0,0,0,1,0,1,1,3
Tuberculose,0,0,0,0,0,0,0,1,0,1,0,0,2
SequelasDeDoencasInfecciosasEParasitarias,0,1,0,0,0,0,0,0,0,0,0,0,
NeoplasiasMalignas,0,0,0,1,0,0,0,5,5,11,8,8,38
DiabetesMellitus,0,0,0,0,0,0,0,2,7,7,9,10,35
TranstornosDeOutrasGlandulasEndocrinas,0,0,0,0,0,0,0,0,1,0,0,0,1
Desnutricao,1,0,0,0,0,0,0,0,0,0,1,2,4
DisturbiosMetabolicos,0,0,0,0,0,0,0,0,0,1,0,0,1
TranstMentEComportDevAoUsoSubstPsicoativa,0,0,0,0,0,0,2,1,1,0,0,0,4
RetardoMental,0,0,0,0,0,0,0,0,0,0,1,0,1
DoencasExtrapiramidaisETranstDosMovimentos,0,0,0,0,0,0,0,0,0,1,0,0,1
OutrasDoencasDegenerativasDoSistemaNervoso,0,0,0,0,0,0,0,0,0,1,0,1,2
TranstornosEpisodicosEParoxisticos,0,0,0,0,0,1,0,1,2,0,0,0,4
ParalisiaCerebralEOutrasSindromesParaliticas,0,0,0,1,0,0,0,0,0,0,0,0,1
OutrosTranstornosDoSistemaNervoso,0,0,0,1,0,0,0,0,0,0,0,0,1
DoencasReumaticasCronicasDoCoracao,0,0,0,0,0,0,1,0,0,0,0,0,1
DoencasHipertensivas,0,0,0,0,0,0,0,0,4,4,5,2,15
DoencasIsquemicasDoCoracao,0,0,0,0,0,0,0,2,6,8,8,5,29
OutrasFormasDeDoencaDoCoracao,0,0,0,0,0,0,0,0,0,1,6,7,14
DoencasCerebrovasculares,0,0,0,0,0,1,0,2,5,5,8,12,33
DoencasDasArteriasDasArteriolasECapilares,0,0,0,0,0,0,0,0,0,1,1,1,3
OutrosTranstEOsNaoEspecAparelhoCirculatorio,0,0,0,0,0,0,0,0,0,1,0,0,1
InfluenzaGripeEPneumonia,0,0,0,0,1,0,0,2,0,5,1,9,18
OutrasInfeccoesAgudasDasViasAereasInferiores,0,0,0,0,0,0,0,0,0,0,1,0,1
DoencasCronicasDasViasAereasInferiores,0,0,0,0,0,0,0,0,0,4,7,3,14
OutrasDoencasRespiratQAfetamPrincIntersticio,0,0,0,0,0,0,0,0,0,0,1,0,1
OutrasDoencasDoAparelhoRespiratorio,0,0,0,0,1,0,0,0,0,0,0,1,2
DoencasDoEsofagoDoEstomagoEDoDuodeno,0,1,0,0,0,0,0,0,0,0,0,0,1
DoencasDoFigado,0,0,0,0,0,0,2,3,4,6,1,0,16
TranstVesiculaBiliarViasBiliaresEPancreas,0,0,0,0,0,0,0,0,1,0,1,0,2
OutrasDoencasDoAparelhoDigestivo,0,0,0,0,0,0,0,0,0,1,1,2,4
DoencasSistemicasDoTecidoConjuntivo,0,0,0,0,0,0,0,0,0,1,0,0,1
DoencasGlomerulares,0,0,0,0,0,0,0,0,0,0,0,1,1
InsuficienciaRenal,0,0,0,0,0,0,0,0,1,0,1,1,3
OutrasDoencasDoAparelhoUrinario,0,0,0,0,0,0,0,0,1,0,0,0,1
DoencasDosorgaosGenitaisMasculinos,0,0,0,0,0,0,0,0,0,0,0,1,1
OutrasAfeccoesObstetricasNCOP,0,0,0,0,0,0,1,0,0,0,0,0,1
FetRecNascAfetFatMatEComplGravTrabParto,3,0,0,0,0,0,0,0,0,0,0,0,3
TranstRespiratECardiovascEspecifPerPerinatal,2,0,0,0,0,0,0,0,0,0,0,0,2
InfeccoesEspecificasDoPeriodoPerinatal,1,0,0,0,0,0,0,0,0,0,0,0,1
TranstAparelhoDigestivoDoFetoOuRecemNascido,1,0,0,0,0,0,0,0,0,0,0,0,1
MalformacoesCongenitasDoAparelhoCirculatorio,2,0,0,0,0,0,0,0,0,0,0,0,2
AnomaliasCromossomicasNCOP,0,0,0,0,1,0,0,0,0,0,0,0,1
SintESinaisRelatAparelhoCirculatERespirat,0,0,0,0,0,0,1,0,2,2,1,0,6
SintESinaisRelCognPercepEstadoEmocECompor,0,0,0,0,0,1,0,0,0,0,0,0,1
SintomasESinaisGerais,0,0,0,0,0,0,0,0,0,0,0,3,3
CausasMalDefinidasEDesconhecidasMortalidade,1,0,0,0,0,1,0,2,2,6,6,3,21
Acidentes,0,0,1,1,1,3,5,2,4,4,2,0,23
LesoesAutoprovocadasIntencionalmente,0,0,0,0,0,0,1,0,0,1,0,0,2
Agressoes,0,0,0,0,0,3,1,1,0,0,0,0,5
